,support,itemsets,length,frequency
322,0.005541871921182266,"frozenset({'PCBA', 'SLAMMD'})",2,63
881,0.001143560872624912,"frozenset({'ALTEA', 'EXPRESS Rack'})",2,13
1011,0.0008796622097114708,"frozenset({'HRF-1', 'SLAMMD'})",2,10
976,0.0008796622097114708,"frozenset({'EPM', 'EDR'})",2,10
988,0.0007916959887403237,"frozenset({'EXPRESS Rack', 'UMS'})",2,9
1013,0.0005277973258268825,"frozenset({'SLAMMD', 'Holter'})",2,6
164,0.0004398311048557354,"frozenset({'PFS', 'EXPRESS Rack'})",2,5
189,0.0003518648838845883,"frozenset({'EXPRESS Rack', 'Portable Pulmonary Function System'})",2,4
514,0.00026389866291344125,"frozenset({'EXPRESS Rack', 'Holter'})",2,3
608,0.00017593244194229416,"frozenset({'EXPRESS Rack', 'Ultrasound 2'})",2,2
1494,0.00017593244194229416,"frozenset({'Bone Densitometer', 'EXPRESS Rack'})",2,2
457,0.00017593244194229416,"frozenset({'MARES', 'SLAMMD'})",2,2
1352,0.00017593244194229416,"frozenset({'EPM', 'ICE Cubes'})",2,2
268,8.796622097114708e-05,"frozenset({'EXPRESS Rack', 'Holter Monitor 2'})",2,1
609,8.796622097114708e-05,"frozenset({'Ultrasound 2', 'SLAMMD'})",2,1
1002,8.796622097114708e-05,"frozenset({'EXPRESS Rack', 'RAM'})",2,1
554,8.796622097114708e-05,"frozenset({'EXPRESS Rack', 'TEPC'})",2,1
561,8.796622097114708e-05,"frozenset({'TEPC', 'EDR'})",2,1
460,8.796622097114708e-05,"frozenset({'EXPRESS Rack', 'MARES'})",2,1
1291,8.796622097114708e-05,"frozenset({'EPM', 'GN2'})",2,1
454,8.796622097114708e-05,"frozenset({'EXPRESS Rack', 'Ultrasound'})",2,1
1509,8.796622097114708e-05,"frozenset({'EXPRESS Rack', 'Bio-Analyzer'})",2,1
398,8.796622097114708e-05,"frozenset({'EXPRESS Rack', 'Actiwatch Spectrum'})",2,1
387,8.796622097114708e-05,"frozenset({'EPM', 'EXPRESS Rack'})",2,1
