,support,itemsets,length,frequency
6,0.12784865816102067,frozenset({'MELFI'}),1,1453
3,0.0579850417949846,frozenset({'Actiwatch'}),1,659
8,0.056929168499780025,frozenset({'MSG'}),1,647
30,0.05464144302683678,frozenset({'RC'}),1,621
18,0.054465464144302686,frozenset({'CB'}),1,619
24,0.05226572811262648,frozenset({'CIR'}),1,594
9,0.05050593928728553,frozenset({'EXPRESS Rack'}),1,574
16,0.05015398152221733,frozenset({'Ultrasound'}),1,570
25,0.03176418829740431,frozenset({'HRF-1'}),1,360
19,0.031060272767267926,frozenset({'CBEF'}),1,353
542,0.02754069511658601,"frozenset({'Actiwatch', 'HRF-1'})",2,313
11,0.026924769027716674,frozenset({'EPM'}),1,306
27,0.025692916849978004,frozenset({'Solar'}),1,292
23,0.02446106467223933,frozenset({'CGBA'}),1,278
84,0.024373075230972284,frozenset({'Rodent Research'}),1,277
22,0.024197096348438186,frozenset({'Holter'}),1,275
85,0.02331720193576771,frozenset({'Veggie'}),1,265
601,0.023229212494500658,"frozenset({'MELFI', 'RC'})",2,264
44,0.01970963484381874,frozenset({'FIR'}),1,224
20,0.019797624285085788,frozenset({'MWA'}),1,224
0,0.01935767707875055,frozenset({'PFS'}),1,220
2,0.01768587769467664,frozenset({'WORF'}),1,201
34,0.017333919929608445,frozenset({'ELC'}),1,196
52,0.01715794104707435,frozenset({'MSPR'}),1,195
89,0.015750109986801583,frozenset({'Astrobee'}),1,179
4,0.01583809942806863,frozenset({'Holter Monitor 2'}),1,179
32,0.01548614166300044,frozenset({'SPHERES'}),1,176
37,0.015398152221733392,frozenset({'LMM'}),1,175
87,0.014430268367795865,frozenset({'SABL'}),1,164
1,0.013902331720193577,frozenset({'Portable Pulmonary Function System'}),1,158
523,0.013902331720193577,"frozenset({'EXPRESS Rack', 'CGBA'})",2,158
45,0.01372635283765948,frozenset({'MERLIN'}),1,156
54,0.013638363396392433,frozenset({'Plant Habitat'}),1,155
187,0.013110426748790146,"frozenset({'PFS', 'Portable Pulmonary Function System'})",2,149
263,0.01293444786625605,"frozenset({'Holter Monitor 2', 'Actiwatch'})",2,147
383,0.012406511218653762,"frozenset({'EPM', 'Actiwatch'})",2,141
53,0.012230532336119666,frozenset({'SLAMMD'}),1,139
673,0.011702595688517378,"frozenset({'LMM', 'FIR'})",2,133
55,0.011614606247250329,frozenset({'MSL'}),1,132
46,0.011526616805983282,frozenset({'GLACIER'}),1,131
100,0.010822701275846898,frozenset({'ELF'}),1,123
41,0.010030796304443467,frozenset({'IPU'}),1,114
31,0.010118785745710514,frozenset({'Ultrasound 2'}),1,114
21,0.009766827980642323,frozenset({'FPEF'}),1,111
49,0.009590849098108227,frozenset({'EDR'}),1,109
