,0
MELFI,1276
Ultrasound,640
ARED,517
MWA,385
CIR,385
MSG,381
EXPRESS Rack,345
CBEF,313
Solar,296
Veggie,254
CEVIS,252
MSPR,241
SPHERES,239
Ultrasound 2,232
ELF,194
Spectrum,187
SABL,187
GLACIER,183
PFS,173
Rodent Research,167
RC,156
Polar,154
BioLab,141
Holter,137
FIR,135
Astrobee,130
LMM,129
MERLIN,125
LSG,114
EPM,104
Actiwatch,104
Plant Habitat,100
Kubik,100
MSL,98
CBEF-L,89
ELC,87
Double Coldbag,84
WORF,72
J-SSOD,69
EML,67
MARES,63
RAM,62
EMCS,62
Manufacturing Device,60
LSR,60
FSL,58
Bio-Monitor,55
CB,53
Bone Densitometer,53
FROST,53
Saibo,51
FPEF,48
SUBSA,47
TEPC,46
IPU,45
MVP,44
EXHAM,44
SCOF,42
Portable Pulmonary Function System,42
SLAMMD,39
Mass Measurement Device,39
TangoLab-2,37
Iceberg,37
NanoRacks CubeSat Deployer,36
MISSE-FF,35
Ryutai,35
EDR,35
EFU Adapter,34
GN2,33
BFF,31
BRIC,30
TangoLab-1,28
CGBA,26
GHF,26
ETC,25
ICE Cubes,24
PCRF,24
DECLIC,24
Mochii,23
KERMIT,23
SoFIE,23
Aquatic Habitat,22
Cyclops,22
HRF-1,21
ABRS,21
ADSEP,20
NanoRacks Platforms,20
FRIDGE,19
Actiwatch Spectrum,19
LIDAL,19
Confocal Microscope,19
Cryo Chiller,19
Acoustic Diagnostics,18
HRF-2,17
AMF,16
MSRR-1,15
Bioculture System,15
MUSES,15
ISERV,15
Nanoracks Airlock,14
Hermes,14
SlingShot,14
NanoRacks External Platform,14
SAMS-II,14
JEM-EF,12
ABS,12
CellCult,12
ALTEA,12
COLBERT,11
IPU2,10
Bartolomeo,10
Cold Atom Lab,10
Bio-Analyzer,9
HSRC,8
KOBAIRO Rack,8
NanoRacks Plate Reader,8
TELLAS,8
Glovebox Freezer,8
SALI,6
Wearable Monitoring,6
Wet Lab RNA SmartCycler,6
SCAN Testbed,6
KFT,5
CCE,5
ARISS,5
TVIS,5
MVIS,4
MSPR-2,4
CBPD,4
Biotube,4
Fruit Fly Lab,4
ELITE-S2,3
PFMI,3
SPySE,3
ARCTIC,3
NanoRacks Microscopes,3
MIS Fiber,3
Mobile SpaceLab,2
Faraday Research,2
UMS,2
Holter Monitor 2,2
Galley Refrigerator-Freezer,1
PGB,1
PERSEO,1
Programmable Isolation Mount,1
NanoRacks-extCygnus-NRCSD,1
NanoRacks Microsat Deployer,1
STaARS-1 EF,1
JAXA Mouse Habitat Unit,1
ADSEP-2,1
AEM,1
MDS,1
APCF,0
SPACE DREAMS,0
Astro Garden,0
Wet Lab Kit,0
ADF,0
EDR-2,0
BioChip SpaceLab,0
PCG-STES,0
EFU Adapter2,0
DDVS,0
EuTEF,0
CRIM-M,0
FPC,0
Columbus-EPF,0
GASMAP,0
GAP-FPA,0
GCF,0
HGD-PFD,0
HPA,0
In Situ Chemiluminescent Reader,0
iRED,0
Carbon Dioxide Meter,0
BXF,0
BTR,0
MAMS,0
BSTC,0
BioServe Microscope,0
MicroPREP,0
Mini Coldbag,0
MQ-Warmchain,0
BioServe Centrifuge,0
BIOKON,0
Bioimpedance Analyzer,0
NanoRacks Astrium Centrifuge,0
Nanoracks Nanode,0
NanoRacks-GoPro Fusion,0
PCBA,0
MOBIAS,0
